NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude
Cazota Bar,Lapa,Av. Mem de Sá 126,Brasileira e Churrasco Argentino,"Avenida Mem de Sá 126, Rio de Janeiro, Brazil",-22.9126538,-43.183891
Carioca da Gema ,Lapa,Av. Mem de Sá 79,Brasileira ,"Avenida Mem de Sá 79, Rio de Janeiro, Brazil",-22.9132755,-43.1819106
Paris Gastrô,Flamengo,Praia do Flamengo 340,Francesa,"Praia do Flamengo 340, Rio de Janeiro, Brazil",-22.9276356,-43.1737414
Mitsuo Japinha ,Flamengo,Rua Marques de Abrantes 79,Japonesa,"Rua Marques de Abrantes 79, Rio de Janeiro, Brazil",-22.9360723,-43.1770784
Amburgueria Mocellin,Barra da Tijuca,Av. Marechal henrique Lott 120,Fast- food,"Avenida Marechal henrique Lott 120, Rio de Janeiro, Brazil",-23.001451,-43.3481247
Marchezinho,Botafogo,"Rua Voluntários da Pátria, 46",Brasileira,"Rua Voluntários da Pátria, Rio de Janeiro, Brazil",-22.4652689,-44.4673968
Paris 6,Barra da Tijuca," Av. Lúcio Costa, 3150",Francesa,"Avenida Lúcio Costa, Rio de Janeiro, Brazil",-23.0131298,-43.3947761
Massa + Ella,Leblon,"Rua Dias Ferreira, 617",Italiana,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Esplanada Grill,Ipanema,"Rua Barão da Torre, 600 ",Churrascaria,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
La Villa,Botafogo,"Rua Álvaro Ramos, 408",Francesa,"Rua Álvaro Ramos, Rio de Janeiro, Brazil",-22.7046041,-43.4273632
Didier,Ipanema,"Rua Vinícius de Moraes, 124",Francesa,"Rua Vinícius de Moraes, Rio de Janeiro, Brazil",-22.4604693,-44.4810911
Posì Mozza & Mare,Ipanema,"Rua Aníbal de Mendonça, 158 ",Italiana,"Rua Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9828334,-43.2112609
Braseiro da Gávea,Gávea,"Praça Santos Dumont, 116",Brasileira,"Praça Santos Dumont, Rio de Janeiro, Brazil",-22.50146455,-44.07522764529055
Alfaia,Copacabana,"Rua Inhangá, 30 ",Portuguesa,"Rua Inhangá, Rio de Janeiro, Brazil",-22.8458127,-42.34074
La Trattoria,Copacabana ,"Rua Fernando Mendes, 7 ",Italiana,"Rua Fernando Mendes, Rio de Janeiro, Brazil",-22.9136061,-42.9338004
Tasca Miúda,Leblon,"Rua Humberto de Campos, 827",Portuguesa,"Rua Humberto de Campos, Rio de Janeiro, Brazil",-22.6786615,-43.2398067
Degrau,Leblon," Av. Ataulfo de Paiva, 517 ",Brasileira,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Zazá Bistrô Tropical,Ipanema,"Rua Joana Angélica, 40 ",Marroquina e asiática,"Rua Joana Angélica, Rio de Janeiro, Brazil",-22.9832734,-43.2049026
Chez Claude,Leblon,"Rua Conde de Bernadott,  26",Francesa,"Rua Conde de Bernadott, Rio de Janeiro, Brazil",nan,nan
Juliette Bistrô,Leblon,"Av. Ataulfo de Paiva, 270",Francesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Casa Graviola,Leblon,"Av. Ataulfo de Paiva, 1240",Vegetariana,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Ono Poke ,Ipanema," Rua Visc. de Pirajá, 630",Japonesa e Havaiana,"Rua Visc. de Pirajá, Rio de Janeiro, Brazil",-22.9837404,-43.214208
Casa Tua Cucina,Barra da Tijuca,"Av. Érico Veríssimo, 190",Italiana,"Avenida Érico Veríssimo, Rio de Janeiro, Brazil",-23.010411,-43.308371
Adega Santiago,Barra da Tijuca,"Av. das Américas, 3900 ",Ibérica,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Maria e o Boi,Ipanema,"Rua Maria Quitéria, 111",Carne,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814
Koa Poke,Copacabana,"Rua Barão de Ipanema, 15 ",Havaiana,"Rua Barão de Ipanema, Rio de Janeiro, Brazil",-22.9746064,-43.1905222
Pobre Juan ,Barra da Tijuca,"Av. das Américas, 3900 ",Argentina,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Lasai,Humaitá,"Largo dos Leões, 35",Moderna,"Largo dos Leões, Rio de Janeiro, Brazil",-22.95332185,-43.19664946819718
Naga,Barra da Tijuca,"Av. das Américas, 3900",Japonesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Galeto do Leblon,Leblon,"Rua Aristides Espinola, 121",Frango,"Rua Aristides Espinola, Rio de Janeiro, Brazil",-22.9866388,-43.2268313
Mr. Lam,Lagoa,"Rua Maria Angélica, 21",Chinesa,"Rua Maria Angélica, Rio de Janeiro, Brazil",-22.7500808,-43.4110004
Corrientes 348 ,Barra da Tijuca,"Av. das Américas, 7777 ",Argentina,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Abbraccio Cucina,Botafogo," Av. Lauro Sodré, 445",Italiana,"Avenida Lauro Sodré, Rio de Janeiro, Brazil",-22.9532376,-43.1789597
Royal Grill,Barra da Tijuca,"Av. Ayrton Senna, 2150",Churrascaria,"Avenida Ayrton Senna, Rio de Janeiro, Brazil",-23.0054271,-44.3091696
Pici Trattoria,Ipanema,"Rua Barão da Torre, 348",Italiana,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Nusa Café,Ipanema,"Rua Vinícius de Moraes, 129",Brunch,"Rua Vinícius de Moraes, Rio de Janeiro, Brazil",-22.4604693,-44.4810911
Absurda Confeitaria,Jardim Botânico," Rua Pacheco Leão, 792",Confeitaria,"Rua Pacheco Leão, Rio de Janeiro, Brazil",-22.166129,-43.5809666
Gringo Café,Ipanema," Rua Barão da Torre, 240",Brunch,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Confeitaria Colombo,Centro,"Rua Gonçalves Dias, 32 ",Confeitaria,"Rua Gonçalves Dias, Rio de Janeiro, Brazil",-22.5206601,-43.1886648
Talho Capixaba ,Leblon," Av. Ataulfo de Paiva, 1022 ",Café da manhã e brunch,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
P.OVO,Ipanema ," Rua Visconde de Pirajá, 437 ",Lanche,"Rua Visconde de Pirajá, Rio de Janeiro, Brazil",-22.9837404,-43.214208
Empório Jardim,Ipanema ,"Rua Maria Quitéria, 62 ",Café da manhã,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814
360 Sports,Barra da Tijuca,"Ilha da Coroa, 09. Barra da TijucaRio de Janeiro",Brasileira,"Ilha da Coroa, Rio de Janeiro, Brazil",nan,nan
Abry Bar & Restô,Barra da Tijuca,"Av. das Américas, 8585. Barra da TijucaRio de Janeiro",Brasileira,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Aconchego Carioca (Bandeira),Praça da Bandeira,"Rua Barão de Iguatemi, 245. Praça da BandeiraRio de Janeiro",Brasileira,"Rua Barão de Iguatemi, Rio de Janeiro, Brazil",-22.9122461,-43.2133084
Adega Forletta,Itaipuaçu,"Rua Ismael Lucindo da Silva, 391. ItaipuaçuMaricá",Bistrô,"Rua Ismael Lucindo da Silva, Rio de Janeiro, Brazil",nan,nan
Adega do Pimenta,Santa Teresa,"Rua Almirante Alexandrino, 296 - B. Santa TeresaRio de Janeiro",Alemã,"Rua Almirante Alexandrino, Rio de Janeiro, Brazil",-22.772237,-43.5576542
Allori Cucina & Bar,São Francisco,"Av. Quintino Bocaiúva, 301. São FranciscoNiterói",Italiana,"Avenida Quintino Bocaiúva, Rio de Janeiro, Brazil",-22.9208954,-43.094487
Alto Barra Beach Lounge,Barra de Guaratiba,"Estr. Roberto Burle Marx, 9600. Barra de GuaratibaRio de Janeiro",Frutos do Mar,"Estr. Roberto Burle Marx, Rio de Janeiro, Brazil",-23.069458,-43.567021
Amélie Crêperie et Bistrot (Barra Shopping),Barra da Tijuca,"Av. das Américas, 4.666. Barra da TijucaRio de Janeiro",Francesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Amélie Crêperie et Bistrot (Botafogo Praia Shopping),Botafogo,"Praia de Botafogo, 400. BotafogoRio de Janeiro",Bistrô,"Praia de Botafogo, Rio de Janeiro, Brazil",-22.94540365,-43.18081801820892
Amélie Crêperie et Bistrot (Gávea),Gávea,"Rua Marquês de São Vicente, 52. GáveaRio de Janeiro",Francesa,"Rua Marquês de São Vicente, Rio de Janeiro, Brazil",-22.9094903,-42.7963923
Ary Delicatessen (Shopping Estação Itaipava),Itaipava,"Estr. União e Indústria, 11000. ItaipavaPetrópolis",Contemporânea,"Estr. União e Indústria, Rio de Janeiro, Brazil",-22.3451565,-43.1239477
Bar Urca,Urca,"Rua Cândido Gaffrée, 205. UrcaRio de Janeiro",Portuguesa,"Rua Cândido Gaffrée, Rio de Janeiro, Brazil",-22.947593,-43.1626468
Bar do Mumuzinho,Gávea,"Rua Marquês de São Vicente, 52. GáveaRio de Janeiro",Brasileira,"Rua Marquês de São Vicente, Rio de Janeiro, Brazil",-22.9094903,-42.7963923
Basha,Copacabana,"Av. Nossa Senhora de Copacabana, 198. CopacabanaRio de Janeiro",Libanesa,"Avenida Nossa Senhora de Copacabana, Rio de Janeiro, Brazil",-22.9679435,-43.1827662
Beer&Grill Legado Romani,Barra da Tijuca,"Av. das Américas, 7700. Barra da TijucaRio de Janeiro",Bar,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Bistrô da Casa,Glória,"Ladeira da Glória, 98. GlóriaRio de Janeiro",Bistrô,"Ladeira da Glória, Rio de Janeiro, Brazil",-22.9222092,-43.1751759
Bonifácio & Berenice,Leblon,"Rua Rainha Guilhermina, 95. LeblonRio de Janeiro",Brasileira,"Rua Rainha Guilhermina, Rio de Janeiro, Brazil",-22.9833238,-43.2279754
Boteco Colarinho (Botafogo),Botafogo,"Rua Nelson Mandela, 100. BotafogoRio de Janeiro",Brasileira,"Rua Nelson Mandela, Rio de Janeiro, Brazil",-22.6958353,-43.5141434
Boteco Colarinho (Copacabana),Copacabana,"Rua Francisco Otaviano, 30. CopacabanaRio de Janeiro",Brasileira,"Rua Francisco Otaviano, Rio de Janeiro, Brazil",-22.8883591,-43.0018079
Boteco do Xopin,Tijuca,"Rua Yeda, 512. TijucaTeresópolis",Bar,"Rua Yeda, Rio de Janeiro, Brazil",-22.4158475,-42.9568888
Bottega 73 Bistrô,Flamengo,"Rua Paissandu, 73. FlamengoRio de Janeiro",Contemporânea,"Rua Paissandu, Rio de Janeiro, Brazil",-22.790174,-43.5391966
Brewteco (Gávea),Gávea,"Praça Santos Dumont, 106. GáveaRio de Janeiro",Comida de boteco,"Praça Santos Dumont, Rio de Janeiro, Brazil",-22.50146455,-44.07522764529055
Brewteco (Lapa),Centro,"Rua do Rezende, 38. CentroRio de Janeiro",Comida de boteco,"Rua do Rezende, Rio de Janeiro, Brazil",-22.9132194,-43.1862026
Brewteco (Leblon),Leblon,"Rua Dias Ferreira, 42. LeblonRio de Janeiro",Comida de boteco,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Brewteco (Rosas),Barra da Tijuca,"Av. Marechal Henrique Lott, 120. Barra da TijucaRio de Janeiro",Comida de boteco,"Avenida Marechal Henrique Lott, Rio de Janeiro, Brazil",-23.001451,-43.3481247
Brewteco (Rua do Rio),Del Castilho,"Av. Pastor Martin Luther King Jr., 126 - Loja 106. Del CastilhoRio de Janeiro",Comida de boteco,"Avenida Pastor Martin Luther King Jr., Rio de Janeiro, Brazil",-22.875949,-43.2716793
Brewteco (Tijuca),Tijuca,"Av. Maracanã, 782. TijucaRio de Janeiro",Comida de boteco,"Avenida Maracanã, Rio de Janeiro, Brazil",-22.7513579,-43.4790872
Broto (Copacabana),Copacabana,"Rua Aires Saldanha, 13. CopacabanaRio de Janeiro",Pizzaria,"Rua Aires Saldanha, Rio de Janeiro, Brazil",-22.9781514,-43.1897066
Broto (Niterói),Icaraí,"Rua Nobrega, 90. IcaraíNiterói",Pizzaria,"Rua Nobrega, Rio de Janeiro, Brazil",-22.9027647,-43.1041081
Broto (São Francisco),São Francisco,"Av. Quintino Bocaiúva, 171. São FranciscoNiterói",Pizzaria,"Avenida Quintino Bocaiúva, Rio de Janeiro, Brazil",-22.9208954,-43.094487
Broto (Tijuca),Tijuca,"Rua Maj. Ávila, 456. TijucaRio de Janeiro",Pizzaria,"Rua Maj. Ávila, Rio de Janeiro, Brazil",-22.9238035,-43.232377
Broto Pizzaria (Botafogo),Botafogo,"Rua Álvaro Ramos, 171. BotafogoRio de Janeiro",Pizzaria,"Rua Álvaro Ramos, Rio de Janeiro, Brazil",-22.7046041,-43.4273632
Bráz Pizzaria (Lagoa),Jardim Botânico,"Rua Maria Angélica, 129. Jardim BotânicoRio de Janeiro",Pizzaria,"Rua Maria Angélica, Rio de Janeiro, Brazil",-22.7500808,-43.4110004
Bull Steak Bar,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Steakhouse,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Bullguer (Tijuca),Tijuca,Av. Maracanã. TijucaRio de Janeiro,Hamburgueria,"Avenida Maracanã. TijucaRio de Janeiro, Rio de Janeiro, Brazil",-22.921946,-43.2354572
Burgers Rio (Botafogo),Botafogo,"Rua Voluntários da Pátria, 1. BotafogoRio de Janeiro",Hamburgueria,"Rua Voluntários da Pátria, Rio de Janeiro, Brazil",-22.4652689,-44.4673968
Burgers Rio (Ipanema),Ipanema,"Aníbal de Mendonça, 55. IpanemaRio de Janeiro",Hamburgueria,"Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9861685,-43.2115063
Caipi Café,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Brasileira,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Caju Gastrobar,Copacabana,"Praça Demétrio Ribeiro, 97. CopacabanaRio de Janeiro",Brasileira,"Praça Demétrio Ribeiro, Rio de Janeiro, Brazil",-22.96188405,-43.1756659352657
Calamares Cevicheria Restobar,Flamengo,"Rua Arno Konder S/N, loja P. FlamengoRio de Janeiro",Peruana,"Rua Arno Konder S/N, Rio de Janeiro, Brazil",-22.9305502,-43.1767537
Cam O'n Thai Food,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Tailandesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Cam O'n Thai Food (Botafogo),Humaitá,"Rua Visc. de Caravelas, 111. HumaitáRio de Janeiro",Tailandesa,"Rua Visc. de Caravelas, Rio de Janeiro, Brazil",-22.7950897,-43.0160423
Cantón,Copacabana,"Rua Rodolfo Dantas, 26. CopacabanaRio de Janeiro",Peruana,"Rua Rodolfo Dantas, Rio de Janeiro, Brazil",-22.7795525,-43.327658
Casa da Vila Artesanais,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Brasileira / Mediterrânea,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Casa do Saulo,Centro,Rodrigues Alves - Praça Mauá. CentroRio de Janeiro,Paraense,"Rodrigues Alves - Praça Mauá. CentroRio de Janeiro, Rio de Janeiro, Brazil",-22.8940683499999,-43.1794045300581
Casarão Odin,Centro,"Rua Alfredo Pachá, 320. CentroPetrópolis",Bar,"Rua Alfredo Pachá, Rio de Janeiro, Brazil",-22.5058462,-43.1840331
Celeste,Centro,"Rua do Lavradio, 11. CentroRio de Janeiro",Italiana,"Rua do Lavradio, Rio de Janeiro, Brazil",-22.9102461,-43.1829993
Cena Gastronomia,Vila Muqui,"Rua Heitor de Moura Estevão, 468. Vila MuquiTeresópolis",Contemporânea,"Rua Heitor de Moura Estevão, Rio de Janeiro, Brazil",-22.4048938,-42.9670318
Churrascaria Palace,Copacabana,"Rua Rodolfo Dantas, 16. CopacabanaRio de Janeiro",Churrascaria,"Rua Rodolfo Dantas, Rio de Janeiro, Brazil",-22.7795525,-43.327658
Coltivi,Botafogo,"Rua Conde de Irajá, 53. BotafogoRio de Janeiro",Contemporânea,"Rua Conde de Irajá, Rio de Janeiro, Brazil",-22.7120548,-43.462672
Conversa Fiada,Barra da Tijuca,"Av. Lúcio Costa, 1976. Barra da TijucaRio de Janeiro",Contemporânea,"Avenida Lúcio Costa, Rio de Janeiro, Brazil",-23.0131298,-43.3947761
Costelas na Brasa,Praça da Bandeira,"Rua Barão de Iguatemi, 408. Praça da BandeiraRio de Janeiro",Brasileira,"Rua Barão de Iguatemi, Rio de Janeiro, Brazil",-22.9122461,-43.2133084
Crema Pizza e Gelato,Icaraí,"Rua Mariz e Barros, 90. IcaraíNiterói",Pizzaria,"Rua Mariz e Barros, Rio de Janeiro, Brazil",-22.9989214,-44.2320185
Daka Pizza Artesanal,Ipanema,"Rua Gomes Carneiro, 132. IpanemaRio de Janeiro",Pizzaria,"Rua Gomes Carneiro, Rio de Janeiro, Brazil",-22.6669547,-43.255156
Deck Jardim,Icaraí,"Rua Dr. Leandro Mota, 138. IcaraíNiterói",Variada,"Rua Dr. Leandro Mota, Rio de Janeiro, Brazil",-22.902984,-43.101579
Delirium Café,Ipanema,"Rua Barão da Torre, 183. IpanemaRio de Janeiro",Variada,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Doceria Gabriela Neves,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Doces,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Don Pig Hamburgueria,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Hamburgueria,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Donna Tê Terrazzo,Várzea,"Praça Baltazar da Silveira, 65. VárzeaTeresópolis",Italiana,"Praça Baltazar da Silveira, Rio de Janeiro, Brazil",-22.4124201,-42.96577185255828
Du Bonfim Gourmet,Tijuca,"Rua Conde de Bonfim, 451 - 2° andar. TijucaRio de Janeiro",Brasileira,"Rua Conde de Bonfim, Rio de Janeiro, Brazil",-22.8576717,-42.2576585
Ella Pizzaria (Jardim Botânico),Jardim Botânico,"Rua Pacheco Leão, 102. Jardim BotânicoRio de Janeiro",Pizzaria,"Rua Pacheco Leão, Rio de Janeiro, Brazil",-22.166129,-43.5809666
Empório Canabrava,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Empório,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Encanteria,Icaraí,"Rua Nóbrega, 264. IcaraíNiterói",Contemporânea,"Rua Nóbrega, Rio de Janeiro, Brazil",-22.9027647,-43.1041081
Escama,Jardim Botânico,"Rua Visc. de Carandaí, 5. Jardim BotânicoRio de Janeiro",Frutos do Mar,"Rua Visc. de Carandaí, Rio de Janeiro, Brazil",-22.9659949,-43.2206132
Flora,Copacabana,"Rua Alm. Gonçalves, 5. CopacabanaRio de Janeiro",Contemporânea,"Rua Alm. Gonçalves, Rio de Janeiro, Brazil",-22.9799504,-43.1901602
Frédèric Epicerie,Leme,"Rua Gustavo Sampaio, 802. LemeRio de Janeiro",Variada,"Rua Gustavo Sampaio, Rio de Janeiro, Brazil",-22.5315652,-43.1732161
Gabriela Gourmet,Jardim Botânico,"Rua Visconde de Carandaí, 2. Jardim BotânicoRio de Janeiro",Contemporânea,"Rua Visconde de Carandaí, Rio de Janeiro, Brazil",-22.9659949,-43.2206132
